chain_name,contract,order,latitude,longitude,site_name,start_date,savings_km
length_8,HC7894,1,-36.8190899185592,144.238221862622,"Calder Hwy, Big Hill Job 53",2023-01-12T13:00:00Z,111.4
length_8,HC7956,2,-36.7584312122315,144.285834222612,"Bendigo",2023-01-18T13:00:00Z,115.8
length_8,HC8061,3,-36.7723124761054,144.240303236121,"Kronk Street, Golden Square Job 726 & 72",2023-01-22T13:00:00Z,113.3
length_8,HC8214,4,-36.8038059,144.2453661,"Job 1015 Railway Street, Kangaroo Flat",2023-02-02T13:00:00Z,108.1
length_8,HC8329,5,-36.8501232052565,144.228635067255,"Calder Hwy, Ravenswood 51 & 52",2023-02-10T13:00:00Z,112.4
length_8,HC8470,6,-36.8295888,144.2379876,"Calder Freeway, Harcour Jobs 31&32",2023-02-16T13:00:00Z,107.7
length_8,HC8033,7,-36.7284627,144.3171646,"East Bendigo ",2023-03-02T13:00:00Z,120.6
length_8,HC8702,8,-35.0391254219302,143.322365230203,"TOOLEYBUC Bridge ",2023-03-13T13:00:00Z,0
length_4_gippsland,HC7847,1,-38.0258531,145.4964566,"Pakenham",2023-01-09T13:00:00Z,51.6
length_4_gippsland,HC7854,2,-38.146493309992,146.353930906072,"Murray Rd, Yallourn North",2023-01-10T13:00:00Z,125.6
length_4_gippsland,HC7939,3,-38.1987561285852,146.536055663737,"Traralgon",2023-01-19T13:00:00Z,125.6
length_4_gippsland,HC8685,4,-38.3827372367572,146.470123146182,"Jeealang Road",2023-03-05T13:00:00Z,0
length_4_northern,HC9386,1,-37.6940676,145.0056749,"Keon Parade",2023-04-13T14:00:00Z,0.9
length_4_northern,HC9500,2,-37.7233226688784,145.068677059252,"Gresswell Forest, Bundoora",2023-04-20T14:00:00Z,6.3
length_4_northern,HC9540,3,-37.7583007793874,145.0691724848,"F05-4229 Rosanna Rd, Heidelberg",2023-04-25T14:00:00Z,8.7
length_4_northern,HC9830,4,-37.8091716,145.2580731,"Eastfield Rd, Croydon",2023-05-09T14:00:00Z,0
length_4_inner,HC12945,1,-37.7138721741352,145.047235111131,"Watsonia/ Bundoora",2023-11-12T13:00:00Z,3.3
length_4_inner,HC12899,2,-37.8298498,145.0066885,"Head Office",2023-11-19T13:00:00Z,9.2
length_4_inner,HC13339,3,-37.7971423091367,144.995403857902,"Smith St, Fitzroy",2023-12-03T13:00:00Z,1.6
length_4_inner,HC13417,4,-37.7483509456813,145.031405485724,"408 Bell Street, Preston",2023-12-07T13:00:00Z,0
length_4_eastern,HC13002,1,-37.75866,145.07167,"Burgundy St & Jika St",2023-11-16T13:00:00Z,9.6
length_4_eastern,HC13160,2,-37.773999264164,145.126929267725,"Templestowe Lower",2023-12-22T13:00:00Z,5.8
length_4_eastern,HC13612,3,-37.7602449618633,145.074119148911,"37-69 Bell St, Ivanhoe",2024-01-04T13:00:00Z,9.1
length_4_eastern,HC9908,4,-37.957625665465,145.054244042695,"Southland Shopping Centre",2024-01-22T13:00:00Z,0
